name,tag1,synonym,tag2
Saue tee,loc,,
Sipa ring,loc,,
Tõnnide tee,loc,,
Puhastusseadmete tee,loc,,
Viilu põik,loc,,
Viiekorruseliste tee,loc,,
Midrimaa tee,loc,,
Elamute tee,loc,,
Iiatsi tee,loc,,
Jaagu tee,loc,,
Jaani tee,loc,,
Juurmani tee,loc,,
Jõe tänav,loc,,
Jõe tee,loc,,
Järva tee,loc,,
Jüri-Mihkli tee,loc,,
Kaalumaja tee,loc,,
Kalda tänav,loc,,
Kalmistu tee,loc,,
Kaopalu tee,loc,,
Karjääri tee,loc,,
Kartulihoidla tee,loc,,
Kase tänav,loc,,
Kaspre tee,loc,,
Kaubalao tee,loc,,
Keskpõllu tee,loc,,
Kingema tee,loc,,
Kingu tänav,loc,,
Kingu tee,loc,,
Kirikumõisa tee,loc,,
Koidu tänav,loc,,
Konnaso tee,loc,,
Kooli tee,loc,,
Kopli tee,loc,,
Kordoni tee,loc,,
Kukemaa tee,loc,,
Kuliste tee,loc,,
Kundra tee,loc,,
Kurgemaa tee,loc,,
Kuuse tee,loc,,
Kuusemaa tee,loc,,
Kõrtsi tee,loc,,
Köstri tee,loc,,
Külamaa tee,loc,,
Laane tee,loc,,
Ladina tee,loc,,
Laiama tee,loc,,
Lastekodu tee,loc,,
Lauda tee,loc,,
Lepiku tee,loc,,
Liiva tänav,loc,,
Liivaristi tee,loc,,
Lodi tee,loc,,
Malle tee,loc,,
Mallesoo tee,loc,,
Masti tee,loc,,
Metsa tänav,loc,,
Metsa tee,loc,,
Metsaääre tee,loc,,
Metsniku tee,loc,,
Apteegi tänav,loc,,
Hans Kanni tänav,loc,,
Hurmi tänav,loc,,
Jõe tänav,loc,,
Jüri tänav,loc,,
Kooli tänav,loc,,
Kuke tänav,loc,,
Lille tänav,loc,,
Lille põik,loc,,
Männiku tee,loc,,
Niidu tänav,loc,,
Niidu põik,loc,,
Nurme tänav,loc,,
Nurme põik,loc,,
Tehnika tänav,loc,,
Turu tänav,loc,,
Õie tänav,loc,,
Piima tänav,loc,,
Mesika tänav,loc,,
Välu tänav,loc,,
A. H. Tammsaare tänav,loc,,
Friedebert Tuglase tänav,loc,,
Vaarika tänav,loc,,
Karl August Hermanni tänav,loc,,
Kloostri tänav,loc,,
Kroonuaia tänav,loc,,
Narva maantee,loc,,
Küütri tänav,loc,,
Rüütli tänav,loc,,
Jaani tänav,loc,,
Hiie tänav,loc,,
Küüni tänav,loc,,
Kompanii tänav,loc,,
Munga tänav,loc,,
Vabaduse puiestee,loc,,
Jakobi tänav,loc,,
Marjamaa põik,loc,,
Mehaanika tänav,loc,,
Metsa tänav,loc,,
Mäe tänav,loc,,
Mäekalda tänav,loc,,
Männiku tänav,loc,,
Nooruse tänav,loc,,
Näituse tänav,loc,,
Nõmme tänav,loc,,
Lutsu tänav,loc,,
Paide tänav,loc,,
Paju tänav,loc,,
Pargi puiestee,loc,,
Pikk tänav,loc,,
Puiestee tänav,loc,,
Pärna tänav,loc,,
Põhja-Puiestee tänav,loc,,
Põik tänav,loc,,
Põllu tänav,loc,,
Raadiojaama tänav,loc,,
Raja tänav,loc,,
Raua tänav,loc,,
Raudtee tänav,loc,,
Ravila tänav,loc,,
Ristiku tänav,loc,,
Roheline tänav,loc,,
Rohu tänav,loc,,
Roopa tänav,loc,,
Savi tänav,loc,,
Staadioni tänav,loc,,
Suur-Puiestee tänav,loc,,
Sõpruse tänav,loc,,
Tallinna tänav,loc,,
Tehnika tänav,loc,,
Telliskivi tänav,loc,,
Tolli tänav,loc,,
Tähe tänav,loc,,
Uus tänav,loc,,
Vabaduse tänav,loc,,
Vabriku tänav,loc,,
Vabriku puiestee,loc,,
Vainu tänav,loc,,
Vambola tänav,loc,,
Vanemuise tänav,loc,,
Viljandi tänav,loc,,
Väike-Pärnu tänav,loc,,
Väätsa tee,loc,,
Tsemendi tänav,loc,,
Turuplatsi tänav,loc,,
Jakob Mändmetsa tänav,loc,,
Käbi tänav,loc,,
Laose tänav,loc,,
Poru tänav,loc,,
Võrgukivi tänav,loc,,
Puki tee,loc,,
Sarve tänav,loc,,
Põllumäe tänav,loc,,
Kurepõllu tänav,loc,,
Taevakivi tänav,loc,,
Valge tänav,loc,,
Kiuru tänav,loc,,
Hunditubaka tee,loc,,
Karukella tee,loc,,
Pune tee,loc,,
Havi tänav,loc,,
Kiire tänav,loc,,
Kesk-Luha tänav,loc,,
Katariina käik,loc,,
Kai tänav,loc,,
Juhan Kunderi põik,loc,,
Bremeni käik,loc,,
Variku tee,loc,,
Valguta tänav,loc,,
Silmiku tänav,loc,,
Saariku tee,loc,,
Põldma tänav,loc,,
Pajustiku tee,loc,,
Mähe-Kaasiku tee,loc,,
Kedriku tänav,loc,,
Harksaba tänav,loc,,
Kõdra tee,loc,,
Kõivu põik,loc,,
Lepiku tee,loc,,
Lodjapuu tee,loc,,
Lohu tänav,loc,,
Lootuse põik,loc,,
Mesika põik,loc,,
Metsavahi põik,loc,,
Metsniku tee,loc,,
Mugula tee,loc,,
Muti tänav,loc,,
Mõrra tee,loc,,
Oblika tee,loc,,
Paakspuu tee,loc,,
Paljassaare põik,loc,,
Pilviku tänav,loc,,
Pojengi tee,loc,,
Priimula tee,loc,,
Põõsa tee,loc,,
Püü põik,loc,,
Rulli tänav,loc,,
Saha põik,loc,,
Silikaltsiidi tänav,loc,,
Suislepa tee,loc,,
Suitsu põik,loc,,
Sõpruse puiestee,loc,,
Tervise tänav,loc,,
Tolmuka tee,loc,,
Tuha tänav,loc,,
Vabarna tee,loc,,
Vesse tänav,loc,,
Vuti tänav,loc,,
Akadeemia tee,loc,,
Ehitajate tee,loc,,
Üliõpilaste tee,loc,,
Astangu tänav,loc,,
Aia tänav,loc,,
Aia põik,loc,,
Alato tänav,loc,,
Allika tänav,loc,,
Eha tänav,loc,,
Hausma tee,loc,,
Heltermaa maantee,loc,,
Hiiu tänav,loc,,
Kaare tänav,loc,,
Kabeli tänav,loc,,
Kajaka tänav,loc,,
Kalamaja tänav,loc,,
Kalda tänav,loc,,
Kanarbiku tänav,loc,,
Karja tänav,loc,,
Kase tänav,loc,,
Keskväljak,loc,,
Koidu tänav,loc,,
Kooli tänav,loc,,
Kopli tänav,loc,,
Kraavi tänav,loc,,
Käina maantee,loc,,
Kõrgessaare maantee,loc,,
Künka tänav,loc,,
Ladva tänav,loc,,
Leigri väljak,loc,,
Lepiku tänav,loc,,
Liiva tänav,loc,,
Lodju tänav,loc,,
Loigu tänav,loc,,
Lubjaahju tänav,loc,,
Luite tänav,loc,,
Marja tänav,loc,,
Mere tänav,loc,,
Metsa tänav,loc,,
Nuutri tänav,loc,,
Nõmme tänav,loc,,
Oja tänav,loc,,
Pae tänav,loc,,
Paju tänav,loc,,
Pargi tänav,loc,,
Pikk tänav,loc,,
Posti tänav,loc,,
Põllu tänav,loc,,
Rahu tänav,loc,,
Ranna tänav,loc,,
Rehemäe tee,loc,,
Rookopli tänav,loc,,
Rootsi tänav,loc,,
Kauba tänav,loc,,
Kivi tänav,loc,,
Koidu tänav,loc,,
Kooli tänav,loc,,
Kraavi tänav,loc,,
Kruusa tänav,loc,,
Kuuse tänav,loc,,
Kuusiku tänav,loc,,
Künka tänav,loc,,
Küttejõu tänav,loc,,
Laste tänav,loc,,
Lehe tänav,loc,,
Lepa tee,loc,,
Liini tänav,loc,,
Liiva tänav,loc,,
Lõuna tänav,loc,,
Metsa tänav,loc,,
Muru tänav,loc,,
Mäe tänav,loc,,
Männiku tänav,loc,,
Niidu tänav,loc,,
Niine tänav,loc,,
Nurme tänav,loc,,
Nõmme tänav,loc,,
Oja tänav,loc,,
Oru tänav,loc,,
Pae tänav,loc,,
Pae põik,loc,,
Paju tänav,loc,,
Papli tänav,loc,,
Pargi tänav,loc,,
Piiri tänav,loc,,
Pikk tänav,loc,,
Posti tänav,loc,,
Põiktänav,loc,,
Põllu tänav,loc,,
Põõsa tänav,loc,,
Rahvamaja tänav,loc,,
Raja tänav,loc,,
Raudtee tänav,loc,,
Ristiku tänav,loc,,
Rohu tänav,loc,,
Saare tänav,loc,,
Sambla tänav,loc,,
Savi tänav,loc,,
Sireli tänav,loc,,
Sonda tee,loc,,
Soo tänav,loc,,
Spordi tänav,loc,,
Säde tänav,loc,,
Sõnajala tänav,loc,,
Turu tänav,loc,,
Tööstuse tänav,loc,,
Uus tänav,loc,,
Vabaduse puiestee,loc,,
Vabriku tänav,loc,,
Vahe tänav,loc,,
Vahtra tänav,loc,,
Viru tänav,loc,,
Võidu tänav,loc,,
Võsa tänav,loc,,
Õle tänav,loc,,
Õpetajate tänav,loc,,
Aasa tänav,loc,,
Aia tänav,loc,,
Allika tänav,loc,,
Aru tänav,loc,,
Eha tänav,loc,,
Hommiku tänav,loc,,
Jaama tänav,loc,,
Järve tänav,loc,,
Järve põik,loc,,
Jõe tänav,loc,,
Kantsi tänav,loc,,
Karja tänav,loc,,
Kase tänav,loc,,
Kirde tänav,loc,,
Kiriku tänav,loc,,
Kitsas tänav,loc,,
Kivi tänav,loc,,
Koidu tänav,loc,,
Kooli tänav,loc,,
Kõrge tänav,loc,,
Künka tänav,loc,,
Laada tänav,loc,,
Liiva tänav,loc,,
Loigu tänav,loc,,
Luha tänav,loc,,
Muru tänav,loc,,
Gildi tänav,loc,,
Lutsu tänav,loc,,
Jaan Tõnissoni tänav,loc,,
Fortuuna tänav,loc,,
Jakob Hurda tänav,loc,,
Wilhelm Struve tänav,loc,,
Vallikraavi tänav,loc,,
Lehola tänav,loc,,
Sõpruse puiestee,loc,,
Kaunase puiestee,loc,,
Leegi tänav,loc,,
Maisi tänav,loc,,
Rukki tänav,loc,,
Vilja tänav,loc,,
Adra tänav,loc,,
Alasi tänav,loc,,
Ehitaja tänav,loc,,
Kolde tänav,loc,,
Künni tänav,loc,,
Linnu tänav,loc,,
Tamme põik,loc,,
Aia tänav,loc,,
Ludvig Puusepa tänav,loc,,
Harju tee,loc,,
Jaama tänav,loc,,
Järsi tee,loc,,
Kaasiku tänav,loc,,
Kadaka tänav,loc,,
Kase tänav,loc,,
Kevade tänav,loc,,
Tammelehe tänav,loc,,
Kirsi tänav,loc,,
Välja tänav,loc,,
Kuuse tänav,loc,,
Künka tänav,loc,,
Ihaste tee,loc,,
Lepa tänav,loc,,
Kesa põik,loc,,
Lille tänav,loc,,
Linnu tee,loc,,
Kvissentali põik,loc,,
Maasika tänav,loc,,
Männiku põik,loc,,
Kvissentali tee,loc,,
Männiku tee,loc,,
Viljandi maantee,loc,,
Nurme tänav,loc,,
Annemõisa tänav,loc,,
Nõmme tee,loc,,
Piiri tänav,loc,,
Pirni tänav,loc,,
Aruküla tee,loc,,
Põhja põik,loc,,
Ihaste põik,loc,,
Põhja tänav,loc,,
Põllu tänav,loc,,
Raja tänav,loc,,
Soo tänav,loc,,
Staadioni tänav,loc,,
Suvila tänav,loc,,
Sõstra tänav,loc,,
Sügise tänav,loc,,
Kruusavälja tänav,loc,,
Talve tee,loc,,
Liivamäe tänav,loc,,
Tamme tänav,loc,,
Nurme tänav,loc,,
Tiigi tänav,loc,,
Sepa tänav,loc,,
Sepakuru tänav,loc,,
Sepavälja tänav,loc,,
Tulbi tänav,loc,,
Sirbi tänav,loc,,
Vaarika tänav,loc,,
Vainu tänav,loc,,
Vahi tänav,loc,,
Välja tee,loc,,
Vasara tänav,loc,,
Ööbiku tänav,loc,,
Aia tänav,loc,,
Anija maantee,loc,,
Võruvälja tänav,loc,,
Apteegi tänav,loc,,
Aardlavälja tänav,loc,,
Heina tänav,loc,,
Aasa tänav,loc,,
Mustjuure tänav,loc,,
Mõisa tänav,loc,,
Hõberebase tänav,loc,,
Karuse tänav,loc,,
Piibri tänav,loc,,
Remmelga tänav,loc,,
Sinirebase tänav,loc,,
Maarjamäe tänav,loc,,
Laeva tänav,loc,,
Kuunari tänav,loc,,
Mayeri trepp,loc,,
Suurgildi plats,loc,,
Virumägi,loc,,
Musumägi,loc,,
Põdrakanepi tee,loc,,
Merihärja tänav,loc,,
Teivi tänav,loc,,
Viidika tänav,loc,,
Vimma tänav,loc,,
Meistri tänav,loc,,
Jumika tee,loc,,
Kailu tee,loc,,
Neiuvaiba tee,loc,,
Maimu tänav,loc,,
Tõnu tänav,loc,,
Uuepere tänav,loc,,
Vismeistri tänav,loc,,
Kiini tänav,loc,,
Umboja tänav,loc,,
Sõjakooli tänav,loc,,
Sammu tänav,loc,,
Rivi tänav,loc,,
Marsi tänav,loc,,
Täpiku tänav,loc,,
Veski tänav,loc,,
Keevise tänav,loc,,
Lõõtsa tänav,loc,,
Sepapaja tänav,loc,,
Sepise tänav,loc,,
Valukoja tänav,loc,,
Ääsi tänav,loc,,
Viige tänav,loc,,
Vihu tänav,loc,,
Särjesilma tänav,loc,,
Sagari tänav,loc,,
Rõugu tänav,loc,,
Rajapere tänav,loc,,
Paljandi tänav,loc,,
Mirta tänav,loc,,
Merirahu tänav,loc,,
Lõimise tänav,loc,,
Lauripere tänav,loc,,
Kubu tänav,loc,,
Artelli tänav,loc,,
Forelli tänav,loc,,
Haaviku põik,loc,,
Kaera tänav,loc,,
Keeru tee,loc,,
Kumalase tänav,loc,,
Laki tänav,loc,,
Liimi tänav,loc,,
Matka tee,loc,,
Mõõna tee,loc,,
Nõo tee,loc,,
Ranniku põik,loc,,
Staadioni tänav,loc,,
Tõusu tee,loc,,
Võistluse tänav,loc,,
Võsa tee,loc,,
Edu tänav,loc,,
Elektri tänav,loc,,
Heki tee,loc,,
Kase tänav,loc,,
Kasvu tänav,loc,,
Kiige tänav,loc,,
Kraavi tänav,loc,,
Kärbi tänav,loc,,
Kärje tänav,loc,,
Künni tänav,loc,,
Lasnamäe tänav,loc,,
Lauliku tänav,loc,,
Liiviku tänav,loc,,
Loite tänav,loc,,
Loo tänav,loc,,
Mahla tänav,loc,,
Sadama tänav,loc,,
Sambliku tänav,loc,,
Sanglepa tänav,loc,,
Seene tänav,loc,,
Sireli tänav,loc,,
Sõnajala tänav,loc,,
Tiigi tänav,loc,,
Tiigi põik,loc,,
Tormi tänav,loc,,
Turu tänav,loc,,
Tüve tänav,loc,,
Uus tänav,loc,,
Vabaduse tänav,loc,,
Vabaduse põik,loc,,
Vabrikuväljak,loc,,
Valli tänav,loc,,
Väike-Aia tänav,loc,,
Väike-Kopli tänav,loc,,
Väike-Liiva tänav,loc,,
Väike-Sadama tänav,loc,,
Väike-Tiigi tänav,loc,,
Ümarmäe tänav,loc,,
1. Mai puiestee,loc,,
Aasa tänav,loc,,
Aia tänav,loc,,
Ambla maantee,loc,,
Depoo tänav,loc,,
Eduard Vilde tänav,loc,,
Eha tänav,loc,,
Ehituse tänav,loc,,
Hiie tänav,loc,,
Hommiku puiestee,loc,,
Ivaste tänav,loc,,
Jaama tänav,loc,,
Jaani tänav,loc,,
Jakobi tänav,loc,,
Kabala tänav,loc,,
Kalda tänav,loc,,
Kalevi tänav,loc,,
Kalmistu tänav,loc,,
Karja tänav,loc,,
Kase tänav,loc,,
Kastani tänav,loc,,
Kauba tänav,loc,,
Kesk tänav,loc,,
Kevade tänav,loc,,
Kiire tänav,loc,,
Kivi tänav,loc,,
