name,tag1,synonym,tag2
Vanemuine,multi,,
Microsoft,famous_org,,
roheline,nan,,
SPA,nan,,
Praha,loc,,
Euroopa parlament,famous_org,,
A.,nan,,
Serbia,loc,,
Tapa,loc,,
Kopli,loc,,
City,nan,,
Skype,famous_org,,
H,nan,,
Sakala,multi,,
Lääne-Eest|Lääne-Eesti,loc,,
Grupp,nan,,
Keskerakond,synonym,Eesti Keskerakond MTÜ,
Kristiine,loc,,
Kuu,nan,,
piirivalveamet,synonym,Politsei- ja piirivalveamet,
Malta,loc,,
Heli,multi,,
Tabasalu,loc,,
Budapest,loc,,
K.,nan,,
Eesti Päevalehe|Päevaleht,synonym,AS Ekspress Media,
J,nan,,
W,nan,,
G,nan,,
Hamburg,loc,,
Kristus,famous_per,,
Kesklinn,loc,,
June,nan,,
Inglis,nan,,
Šotimaa,loc,,
Germany,loc,,
Jeesus,famous_per,,
Eesti Ekspress,synonym,AS Ekspress Media,
Kohila,loc,,
FIE,nan,,
Küpros,loc,,
RMK,synonym,Riigimetsa Majandamise Keskus,
Armeenia,loc,,
Liivimaa,loc,,
Raad|Rae vald,loc,,
Kihnu,loc,,
Lihula,loc,,
Räpina,loc,,
briti,nan,,
abc,nan,,
Rocca al Mare,synonym,Rocca al Mare Kaubanduskeskuse AS,
Luksemburg,loc,,
Kaup,nan,,
IRL,synonym,Erakond Isamaa ja Res Publica Liit,
Ladina-Ameerika,loc,,
M.,nan,,
Harku,loc,,
Apple,famous_org,,
München,loc,,
Singapur,loc,,
Baltic,loc,,
Araabia,loc,,
Eesti Päevaleht,synonym,AS Ekspress Media,
Uus,nan,,
Chicago,loc,,
põhjamaa,nan,,
Kose,loc,,
Leningrad,loc,,
In,nan,,
Iraak,loc,,
OK,nan,,
Hansapank,synonym,Swedbank AS,
Washington,loc,,
Moldova,loc,,
Kasahstan,loc,,
La,nan,,
Afganistan,loc,,
EM,nan,,
Los Angeles,loc,,
Atlandi ookean,loc,,
Iraan,loc,,
nõukogu liit,loc,,
Tallink,synonym,Tallink Grupp AS,
Indoneesia,loc,,
Malaisia,loc,,
Peking,loc,,
Argentiina,loc,,
Eesti Post,synonym,Omniva OÜ,
English,nan,,
Milano,loc,,
P.,nan,,
Lithuania,loc,,
EEK,nan,,
Kunda,loc,,
maarjamaa,loc,,
Muuga,loc,,
Excel,product,,
Y,nan,,
Harju maakond,loc,,
Sweden,loc,,
Skandinaaviamaa,nan,,
LCD,nan,,
Muhu,loc,,
Maroko,loc,,
September,nan,,
Frankfurt,loc,,
esi,nan,,
Solaris,synonym,Solaris Keskus AS,checkcontext
Genf,loc,,
V.,nan,,
KOV,nan,,
European Union,famous_org,,
° C.,nan,,
Raamat,nan,,
October,nan,,
Internet,nan,,
Selle,nan,,
Mon,nan,,
USA .,loc,,
FB,famous_org,Facebook,
T.,nan,,
Kuusalu,loc,,
Vietnam,loc,,
Peipsi järv,loc,,
Viimsi vald,loc,,
Peruu,loc,,
Tiibet,loc,,
N,nan,,
Google ’ i,famous_org,,
January,nan,,
Ateena,loc,,
Istanbul,loc,,
BNS,synonym,BNS Eesti OÜ,
A4,nan,,
Jaam|Jaama,loc,,
Makedoonia,loc,,
Kiiev,loc,,
Elisa,synonym,Elisa Eesti AS,
EKA,synonym,Eesti Kunstiakadeemia,checkcontext
Sitsiilia,loc,,
prisma,synonym,Prisma Peremarket AS,checkcontext
Kadaka|Kadakas,multi,,
Aruküla,loc,,
Russian,nan,,
Napoleon,famous_per,,
ELS,multi,,
Aegviidu,loc,,
Kehra,loc,,
kunstiakadeemia,synonym,Eesti Kunstiakadeemia,
Shanghai,loc,,
EVS,multi,,
EBS,synonym,Estonian Business School,
ostja,nan,,
Tähtvere,loc,,
Raasiku,loc,,
Moscow,loc,,
Transport,nan,,
Firenze,loc,,
Avinurme,loc,,
järv,nan,,
Nissan,famous_org,,
Paulus,famous_per,,
Androi|Android,product,,
Annelinn,loc,,
Alutaguse,loc,,
aeg,nan,,
Stroomi,loc,,
Maardu linn,loc,,
ERSO,synonym,Eesti Riiklik Sümfooniaorkester SA,
Oma,nan,,
MDF,product,,
Audru vald,loc,,
Vaivara vald,loc,,
Eesti näitus,synonym,Eesti Näituste AS,checkcontext
linn,nan,,
ergo,multi,,
Val|Vali,nan,,
Tallinn kunstihoone,synonym,Tallinna Kunstihoone Fond SA,
Bütsants|Bütsantsi,loc,,
Tabivere,loc,,
Joomla,product,,
Nizza,loc,,
BIM,nan,,
E-R,nan,,
Brandenburg,loc,,
Padise vald,loc,,
Tootei|Tooteid,nan,,
Milaano,loc,,
SmartPOST|SmartPOSTi,synonym,Itella Smartpost OÜ,
EVEA,synonym,Eesti Väike- ja Keskmiste Ettevõtjate Assotsiatsioon,
Eesti Kunstnik Liidu|Liidud|Liit,synonym,Eesti Kunstnike Liit MTÜ,
Harku järv,loc,,
SmartPOST,synonym,Itella Smartpost OÜ,
Teiste,nan,,
Ankara,loc,,
ENL,synonym,Eesti Noorteühenduste Liit,checkcontext
Toyota,famous_org,,
Lõuna-Itaalia,loc,,
Rhodos|Rhodose,loc,,
Illuka vald,loc,,
ELF,synonym,SA Eesti Lastefond,checkcontext
Elron|Elroni,synonym,Eesti Liinirongid AS,
Global,nan,,
nt,nan,,
ISS,multi,,
EAKL,synonym,Eesti Ametiühingute Keskliit,checkcontext
Re,nan,,
Mac OS,product,,
Lean,nan,,
Dacia,product,,
Times New Roman,nan,,
Elron,synonym,Eesti Liinirongid AS,
Glehn|Glehni,multi,,
Fibo,product,,
Reola,loc,,
DP,multi,,
ülejõgi,loc,,
Avinurme vald,loc,,
Narva laht,loc,,
Komplekti,nan,,
Window,nan,,
mg,nan,,
Elva jõgi,loc,,
ÜKE,nan,,
ringtee,nan,,
Tallinn Telliskiv|Telliskivi,multi,,
Eesti Telefon,synonym,Elion Ettevõtted AS,
Buyer,nan,,
L???una-Eesti,loc,,
HO,multi,,
Maxima X,synonym,Maxima Eesti OÜ,
Elroni,synonym,Eesti Liinirongid AS,
Lihtsam,nan,,
Kanda,nan,,
Forex,nan,,
Galant,multi,,
Seller,nan,,
OE,nan,,
Goods,nan,,
Grupp|Gruppi,nan,,
Tallinn-Tartu-Võru-Luhamaa maantee,loc,,
Rolex,product,,
Mi,nan,,
Tee|Teed,nan,,
Justify,nan,,
Haljala alevik,loc,,
Alsace ’ i,loc,,
Driven,nan,,
Otsi,nan,,
MetaTrader,product,,
Operation Lifesaver,synonym,MTÜ Operation Lifesaver Estonia,
Sarlin,multi,,
MustonenFest|MustonenFesti,event,,
Paul Badura-Skoda,famous_per,,
meriküla,loc,,
ACME,multi,,
Ceramic,nan,,
SmartPOSTi,synonym,Itella Smartpost OÜ,
Käes,nan,,
Histrodamus,synonym,MTÜ Eesti Elava Ajaloo Keskus,
Jaam|Jaama küla,loc,,
CFD,nan,,
Tallinn Airport Ltd,synonym,Tallinna Lennujaam AS,
Bathroom,nan,,
C. krunt,nan,,
Astu,nan,,
Ver|Veri,nan,,
päiksevalk,nan,,
Tõustes,nan,,
Grossi Toidukauplus,synonym,AS OG Elektra,
Lääne|Lääs - Virumaa,loc,,
Garmahis,synonym,Garmahis Mööbel ja Uksed OÜ,
Tegus KÜ,nan,,
Sales Department,nan,,
CFD Trader,nan,,
Vhuup,nan,,
Macromedia Flash Player|Playeri,product,,
Adobe Acrobat Reader|Readeri,product,,
Leida Võimalus,nan,,
Showtrupp Atenga,synonym,MTÜ Tantsuklubi Agneta,
Atenga,synonym,MTÜ Tantsuklubi Agneta,
Reola Äripark,loc,,
Technologies Analüsaatoridnb,nan,,
Tõuste,loc,,
üle vint käsi,nan,,
Uhkust,nan,,
Viska|Viskad,nan,,
Narriks Tee|Teed,nan,,
Põleta,nan,,
Kloun hei,nan,,
Fööniksina,nan,,
Narriks,nan,,
Trampides,nan,,
Külva|Külvad,nan,,
Painutades,nan,,
Shanghai-Nanjing,loc,,
Divites TabletWorld,nan,,
Kesklinna-Supilinna-Tähtvere,loc,,
Green Smoke,nan,,
SFX,nan,,
Mix Team,nan,,
Eesti-Soome ühendvõistkond,nan,,
pikaliiv Sagari,nan,,
Sagari,multi,,
Veomaht|Veomahu|Veomahud,nan,,
avausse.toodetu Saksamaal.Mï,nan,,
Elektivõimsus 3x63A,nan,,
Uue-Maailm|Uue-Maailma 21/23Tallinn,loc,,
Galand|Galandi|Galant,multi,,
kaitsevöönd,nan,,
EE101620091,nan,,
Divites,synonym,Divites Publishing OÜ,
Thematic Sections,nan,,
Finishing,nan,,
jumala-elu,nan,,
raamat Online,nan,,
Voka spordikeskus,synonym,Spordiklubi FiniFit,
